omstracknum,ordnum,pkg_length,pkg_width,pkg_height,pkg_weight
1ZY852290137116323,901272444542, , , ,0.20
9274899992573377899013,911705304502,6,6,6,0.2
9274899992573377899228,102130260865,10,10,1,0.2
1Z6Y50E6YP34397091,102834023190, , , ,1.50
713164739469,902836440056, , , ,0.1
713164739447,922865663920,11,1,9,1.0
1Z6Y50E6YP34398509,922890568711, , , ,1.50
9274899992573344080109,902898290632,9,7,6,0.5
1ZY852291384612284,902928954971, , , ,2.10
1ZY852290196407345,411000000317341955, , , , 
1ZY852290196407425,411000000317341955, , , , 
1Z6Y50E6YP34396743,922905382444, , , ,1.50
1Z1AF4620364868735,102921329576, , , ,0.30
1ZY852291384612293,902933359132, , , ,2.10
1Z2W42440302771179,912825270791, , , ,1.00
1Z6Y0R391208043618,902951205804, , , ,1.80
1Z6Y0R391208043618,902951205804, , , ,1.80
1Z6Y0R391208043618,902951205804, , , ,1.80
728734275919,411000000318405717,19,17,13,18.3
725612428062,411000000318405717,13,12,6,9.3
1Z2W42440300389739,102956999088, , , ,1.00
1Z2W42440300389720,912993418944, , , ,1.00
1Z2W42440302771188,103006715436, , , ,1.00
1Z2W42440300619329,923006344850, , , ,1.00
92419999936738583015219123,103033291079, , , ,0.7850
92419999936752583012179055,103019456243, , , ,1.7800
726956475819,411000000319492559,40,19,11,37.0
1Z2W42440321100741,903032114669, , , ,1.00
726956475820,411000000319492559,40,18,11,37.0
9274899995774732686560,102556060293,9,6,3,0.4
1Z6Y50E11223661016,103047291496, , , ,0.20
92419999936752583011390369,913039893856, , , ,2.1350
92419999936752583012452554,903052608478, , , ,1.3950
1Z8730900121874933,903073959309, , , ,1.80
1Z2W4244YW06333182,903074268769, , , ,1.00
1Z2W42440318787552,903082596806, , , ,1.00
1Z1AF4620365359088,913058460558, , , ,0.30
713164739414,903075049336,11,1,9,1.0
1Z60718X0306845884,103065488365, , , ,7.60
9274899995774732686683,133067583020,6,6,6,0.4
92419999936752583011715032,103086651988, , , ,1.8250
1Z6WA9250319188111,103091902315, , , ,0.10
1ZV98V080328572102,103090713652, , , ,0.50
9261299992573330272024,103103624400,15,10,6,1.5
1Z973VR5YN02113905,903104171949, , , ,0.60
92419999921341583009362969,103105859200, , , ,1.9400
92419999936738583014856954,923127155596, , , ,1.8400
92748999921341583010539979,501000000002244055, , , ,0.3600
1ZWA13190331242414,103106365426, , , ,0.60
92419999921341583009029749,103112080787, , , ,2.0600
